Наименование,Дата поставки,Дата заказа,Срок поставки,Плановый срок поставки,Регион,Объем заказа,"Цена, руб",Условия платежа,НРП - нерегламентная потребность (внеплановая закупка),Поставщик
ПЛАСТИНА IBR130 23Х130Х240,2016-02-10 00:00:00,2015-10-26 00:00:00,107,90,Вологодская область,5,"1942,675159",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВЕНЕЦ ЗУБЧ (1/4 ЧАСТЬ) 3533.05.00.081,2017-02-10 00:00:00,2015-11-05 00:00:00,463,320,Мурманская область,1,"614904,4586",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ВЕНЕЦ ЗУБЧ (1/4 ЧАСТЬ) 3533.05.00.081,2016-08-05 00:00:00,2015-11-05 00:00:00,274,320,Мурманская область,3,"614904,4586",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ВЕНЕЦ ЗУБЧ (1/4 ЧАСТЬ) 3533.05.00.081,2015-11-10 00:00:00,2015-11-05 00:00:00,5,320,Мурманская область,1,"614904,4586",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЗУБ КОВША 1085.52.05-1СБ НАПЛАВКА,2015-11-30 00:00:00,2015-11-13 00:00:00,17,75,Вологодская область,13,"6496,815287",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ПОДШИПНИК 3536.03.08.000 СЕДЛОВОЙ,2016-11-15 00:00:00,2015-11-19 00:00:00,362,320,Мурманская область,1,"923566,879",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОДКОС ПРАВЫЙ 3536.24.00.250 ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,220,Мурманская область,1,"172038,2166",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВЕНЕЦ ЗУБЧ 3536.05.00.001 ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,220,Республика Карелия,1,"1778980,892",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВЕНЕЦ ЗУБЧ 3536.05.00.001 ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,220,Республика Карелия,1,"1778980,892",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОДКОС ЛЕВЫЙ 3536.24.00.270 ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,220,Мурманская область,1,"174097,9873",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КРУГ РОЛИКОВЫЙ В СБОРЕ  3536.07.03.000,2016-05-15 00:00:00,2015-11-19 00:00:00,178,210,Мурманская область,1,"717834,3949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ЦАПФА ЦЕНТРАЛЬНАЯ 3519.06.00.000,2016-05-15 00:00:00,2015-11-19 00:00:00,178,90,Мурманская область,1,"318184,7134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КРУГ РОЛИКОВЫЙ В СБОРЕ  3536.07.03.000,2016-05-15 00:00:00,2015-11-19 00:00:00,178,210,Мурманская область,1,"717834,3949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОДШИПНИК 3536.03.08.000 СЕДЛОВОЙ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,320,Мурманская область,1,"923566,879",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ШЕСТЕРНЯ ВЕДУЩАЯ 3572.05.10.001 ,2016-05-15 00:00:00,2015-11-19 00:00:00,178,100,Республика Карелия,6,12300,ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОЛЕСО ЗУБЧ 3519.05.02.006 Z=29 М=36,2016-04-15 00:00:00,2015-11-19 00:00:00,148,220,Мурманская область,2,"201146,4968",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
КОЛЕСО ЗУБЧ 3519.05.02.006 Z=29 М=36,2016-04-15 00:00:00,2015-11-19 00:00:00,148,220,Мурманская область,2,"201146,4968",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
ЦАПФА ЦЕНТРАЛЬНАЯ 3635.06.00.000,2016-02-15 00:00:00,2015-11-19 00:00:00,88,240,Республика Карелия,1,"318184,7134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
СЕКЦИЯ СТРЕЛЫ НИЖНЯЯ 3536.03.07.000,2016-02-15 00:00:00,2015-11-19 00:00:00,88,200,Республика Карелия,1,"1178343,949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОЛЕСО ЗУБЧ 3519.05.02.006 Z=29 М=36,2016-02-15 00:00:00,2015-11-19 00:00:00,88,220,Республика Карелия,2,"201146,4968",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ НАТЯЖНАЯ 3519.05.02.081,2016-02-15 00:00:00,2015-11-19 00:00:00,88,280,Республика Карелия,1,"323566,879",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ 3519.05.02.062 ВЕДУЩ,2016-02-15 00:00:00,2015-11-19 00:00:00,88,400,Мурманская область,6,"111464,9682",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
СТОЙКА ДВУНОГАЯ 3536.12.00.000 ,2016-02-01 00:00:00,2015-11-19 00:00:00,74,200,Республика Карелия,1,"1456847,134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ЦИЛИНДР 11075.54.401 СБ,2016-11-20 00:00:00,2015-11-25 00:00:00,361,190,Республика Карелия,1,"55305,73248",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЦИЛИНДР 11075.55.430 СБ,2016-11-20 00:00:00,2015-11-25 00:00:00,361,190,Республика Карелия,1,"62745,22293",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
ЦИЛИНДР 11075.67.291 СБ,2016-11-20 00:00:00,2015-11-25 00:00:00,361,190,Республика Карелия,2,"66993,63057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
ХОМУТ Г34-52 170Х50 СТ25-35Л,2016-03-10 00:00:00,2015-12-16 00:00:00,85,220,Мурманская область,12,"6840,764331",,,3705
ХОМУТ Г34-52 180Х40 СТ25-35Л,2016-03-10 00:00:00,2015-12-16 00:00:00,85,220,Мурманская область,12,"6840,764331",,,3705
ХОМУТ 190Х40 Г34-53 С БОЛТОМ,2016-03-10 00:00:00,2015-12-16 00:00:00,85,250,Мурманская область,6,"8732,484076",,,3705
КОЛЬЦО 8ЛЖ.217.452-01 СОЕДИНИТЕЛЬНОЕ,2016-03-10 00:00:00,2015-12-16 00:00:00,85,200,Мурманская область,2,"32706,36943",,,3705
ХОМУТ Г34-52 170Х50 СТ25-35Л,2016-03-10 00:00:00,2015-12-16 00:00:00,85,220,Мурманская область,20,"6840,764331",,,3705
П/МУФТА 8ЛЖ 255.078-04 ВЕДУЩ,2016-03-10 00:00:00,2015-12-16 00:00:00,85,180,Мурманская область,3,"54745,85987",,,3705
ХОМУТ 190Х40 Г34-53 С БОЛТОМ,2016-03-10 00:00:00,2015-12-16 00:00:00,85,250,Мурманская область,10,"8732,484076",,,3705
ПОЛУХОМУТ С БОЛТОМ Г34-53 190Х50,2016-03-10 00:00:00,2015-12-16 00:00:00,85,200,Мурманская область,12,"8732,484076",,,3705
ХОМУТ Г34-52 180Х40 СТ25-35Л,2016-03-10 00:00:00,2015-12-16 00:00:00,85,220,Мурманская область,20,"6840,764331",,1,3705
СТОЙКА ДВУНОГАЯ 3536.12.00.000 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,200,Мурманская область,1,"1456847,134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
СТОЙКА ДВУНОГАЯ 3536.12.00.000 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,200,Мурманская область,1,"1456847,134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ БЫСТРОХОДНЫЙ 3572.05.10.150 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,220,Мурманская область,4,"157324,8408",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ БЫСТРОХОДНЫЙ 3572.05.10.150 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,220,Мурманская область,4,"157324,8408",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ ПРОМЕЖУТОЧНЫЙ 3572.05.10.200 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,220,Мурманская область,4,"182859,8726",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ ПРОМЕЖУТОЧНЫЙ 3572.05.10.200 ,2016-04-30 00:00:00,2015-12-18 00:00:00,134,220,Мурманская область,2,"182859,8726",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОДВЕСКА КОВША 11075.52.300СБ,2016-11-15 00:00:00,2015-12-21 00:00:00,330,180,Республика Карелия,1,"398407,6433",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ-ШЕСТЕРНЯ 3536.11.01.002 ,2016-07-22 00:00:00,2015-12-21 00:00:00,214,280,Республика Карелия,1,"136834,3949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОЛЕСО ЗУБЧ 3536.08.01.300 ,2016-07-22 00:00:00,2015-12-21 00:00:00,214,240,Республика Карелия,2,"117630,5732",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ВАЛ-ШЕСТЕРНЯ 3532.10.01.011 ,2016-07-22 00:00:00,2015-12-21 00:00:00,214,160,Республика Карелия,2,"75210,19108",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОРОМЫСЛО 3519.21.00.023,2016-07-22 00:00:00,2015-12-21 00:00:00,214,220,Республика Карелия,4,"257961,7834",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПАЛЕЦ ЗВЕНА ГУСЕНИЧНОГО 3519.05.03.002,2016-07-22 00:00:00,2015-12-21 00:00:00,214,60,Республика Карелия,529,"552,2292994",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-07-22 00:00:00,2015-12-21 00:00:00,214,205,Республика Карелия,3,"136942,6752",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
БЛОК-ШЕСТЕРНЯ 3532.10.01.300 ,2016-04-15 00:00:00,2015-12-21 00:00:00,116,210,Республика Карелия,1,"449926,1146",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОДШИПНИК 3536.03.08.000 СЕДЛОВОЙ,2016-06-30 00:00:00,2016-01-29 00:00:00,153,320,Республика Карелия,1,"1970847,134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
П/МУФТА 3537.11.01.151,2016-11-15 00:00:00,2016-02-16 00:00:00,273,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-10-15 00:00:00,2016-02-16 00:00:00,242,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-09-15 00:00:00,2016-02-16 00:00:00,212,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-09-15 00:00:00,2016-02-16 00:00:00,212,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
П/МУФТА 3537.11.01.151,2016-08-15 00:00:00,2016-02-16 00:00:00,181,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-08-15 00:00:00,2016-02-16 00:00:00,181,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,3987
П/МУФТА 3537.11.01.151,2016-07-15 00:00:00,2016-02-16 00:00:00,150,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-07-15 00:00:00,2016-02-16 00:00:00,150,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
П/МУФТА 3537.11.01.151,2016-06-15 00:00:00,2016-02-16 00:00:00,120,180,Мурманская область,2,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-06-15 00:00:00,2016-02-16 00:00:00,120,180,Мурманская область,2,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-06-15 00:00:00,2016-02-16 00:00:00,120,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
П/МУФТА 3537.11.01.151,2016-05-15 00:00:00,2016-02-16 00:00:00,89,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-05-15 00:00:00,2016-02-16 00:00:00,89,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-05-15 00:00:00,2016-02-16 00:00:00,89,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
П/МУФТА 3537.11.01.151,2016-04-30 00:00:00,2016-02-16 00:00:00,74,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-04-30 00:00:00,2016-02-16 00:00:00,74,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/МУФТА 3537.11.01.151,2016-04-30 00:00:00,2016-02-16 00:00:00,74,180,Мурманская область,1,"1443,312102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
П/МУФТА ВЕДОМАЯ 3555.11.01.151,2016-04-10 00:00:00,2016-02-16 00:00:00,54,120,Мурманская область,3,"3025,477707",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,3987
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-04-10 00:00:00,2016-02-16 00:00:00,54,130,Мурманская область,2,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-04-10 00:00:00,2016-02-16 00:00:00,54,130,Мурманская область,1,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
ОСЬ 150Х380 Г34-44-01/3532.21.00.012,2016-04-10 00:00:00,2016-02-16 00:00:00,54,130,Мурманская область,3,"7165,605096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
